#ELSD# 1024 512 pano.pgm (width height input)
# FORMAT:
#   line <x1> <y1> <x2> <y2>
#   circle <cx> <cy> <rx> <ry> <angle_start> <angle_end>
#   eclipse <x> <y> <rx> <ry> <rotation> <angle_start> <angle_end>
line 144.338537 405.440535 125.567742 404.798185
line 789.959631 265.643623 792.163054 344.366938
line 748.327898 166.895300 747.770280 138.131877
line 821.917283 279.584346 796.684304 284.680860
line 355.621153 268.207870 385.614536 269.600381
line 963.562865 164.976649 1022.356444 178.537716
line 0.252627 179.184456 38.712907 192.702319
line 400.622602 486.615749 373.113393 486.870210
line 590.462040 468.830642 630.355154 478.043477
line 34.353106 473.538082 0.565517 471.747296
line 264.416264 228.548862 290.660913 225.993905
line 302.702978 206.768794 263.436494 192.280768
line 420.683058 242.987760 399.313545 242.093419
line 812.096472 305.617060 811.290850 283.145943
line 751.396236 344.382871 748.539708 170.638733
line 203.390835 406.628709 245.579924 395.454808
line 788.043200 170.597997 789.951841 253.169454
line 735.704758 388.014603 713.208797 386.695706
line 1005.336037 280.485624 987.727148 275.904138
line 750.526964 394.603793 729.405640 385.553494
line 134.360472 411.603969 194.522629 408.379202
line 665.626132 486.424305 620.623276 486.311236
line 1022.080789 201.092895 976.543420 221.121098
line 550.521217 462.522392 565.926853 464.992052
line 539.271742 347.923900 555.686770 339.495300
line 795.033708 283.127046 794.934211 254.373065
line 45.607635 288.262183 56.991683 289.703203
line 793.756737 345.854497 833.181978 321.969048
line 50.671253 421.712158 63.552235 425.370857
line 924.419654 212.477967 904.371050 212.961110
line 829.048122 283.133374 829.432938 298.155537
line 717.275069 190.821670 747.051737 166.794893
line 591.867186 430.576534 610.534984 427.566696
line 680.625262 380.781356 699.375209 380.749969
line 609.445138 425.882022 585.688421 426.987683
line 84.343196 429.750096 131.819835 433.775610
line 23.130827 263.267072 36.908918 262.701969
line 884.391358 161.446073 963.169794 164.450456
line 315.737730 214.179250 303.107383 206.905591
line 713.305453 358.740302 694.642488 353.434178
line 195.446943 407.133601 202.930064 405.789621
line 716.110310 295.610293 717.399397 338.146990
line 683.117241 284.066261 703.136488 284.231276
line 699.466622 432.035255 740.704980 429.356054
line 84.159647 290.626776 83.479222 208.132389
line 553.175769 188.087744 564.705747 203.799584
line 832.805108 319.387020 829.844945 240.607342
line 629.369548 493.094160 686.879578 493.351325
line 533.454443 358.840524 553.152553 368.066169
line 571.619449 205.454126 537.620334 211.569038
line 696.850676 378.628678 675.589894 377.601933
line 641.308991 408.946680 631.182671 392.775783
line 115.602218 429.665627 87.978005 427.500209
line 598.418699 452.217272 556.916755 446.568239
line 716.027426 169.371939 715.950678 190.626176
line 856.895306 430.749123 789.417257 429.532090
line 709.309850 389.336868 701.082830 403.392968
line 350.574946 220.963113 421.872313 223.210265
line 899.286195 82.201393 847.910221 87.141225
line -0.123248 402.396067 45.231020 421.557533
line 345.591090 242.488840 326.829293 241.452395
line 59.218728 287.749571 83.316123 292.055381
line 881.386313 232.320742 867.893820 219.548709
line 559.427285 426.662122 579.447626 431.579303
line 846.990346 87.319022 804.135163 98.451753
line 975.771683 87.833113 913.125151 81.873410
line 537.500448 212.258096 525.416256 214.499680
line 605.542772 381.846070 620.650829 382.348809
line 446.994617 418.506951 466.990774 412.244680
line 555.662789 447.457079 506.794151 450.629630
line 263.006649 192.323882 234.584566 184.830163
line 805.911433 97.470069 761.109711 119.035099
line 1000.689339 259.921970 1013.085517 261.056425
line 236.885379 262.305624 258.123041 261.793731
line 630.887276 394.138796 614.486275 391.244452
line 398.215742 243.623664 386.819143 243.106934
line 560.510132 363.708201 539.342692 359.539031
line 875.569734 377.743932 856.850882 380.458701
line 1011.715391 97.495906 972.955989 87.532483
line 549.505843 420.407605 559.055771 426.155398
line 705.463258 283.994033 715.734134 282.975476
line 811.020338 396.258340 833.725961 382.085225
line 386.916294 273.085922 361.860178 273.940367
line 146.813172 433.584570 191.928241 430.055647
line 347.261360 258.232659 348.949172 271.772261
line 613.023724 391.582431 586.491413 400.766884
line 316.889049 312.773336 301.763375 312.169048
line 89.347384 427.007832 46.864465 418.175675
line 574.506865 452.946310 596.240563 468.984727
line 43.259117 239.371594 44.466251 286.904427
line 996.886026 230.668142 1022.152491 224.210770
line 324.715342 232.109963 348.720095 240.094027
line 444.095140 281.149336 466.279778 292.990189
line 466.905525 396.753897 456.910396 394.234570
line 64.253885 425.013297 84.703538 428.893543
line 955.628386 231.051273 934.369798 231.220152
line 9.393652 261.611732 20.851814 262.423499
line 483.119200 279.180090 464.348625 279.738632
line 716.910078 389.190416 751.088572 395.685638
line 735.707831 426.477301 694.390399 427.498203
line 460.805286 213.363383 390.653205 207.771177
line 264.310485 267.423803 284.327749 269.776943
line 549.495910 335.053002 531.878739 335.723263
line 266.879166 230.478983 250.606748 230.014661
line 893.207088 344.716799 874.344258 349.246997
line 462.725585 415.141595 475.678232 404.439426
line 374.464498 487.056851 361.935317 487.839990
line 208.164227 468.784885 139.303044 464.207496
line 820.882684 186.419188 788.221268 167.954714
line 693.338619 356.099988 713.527502 361.664719
line 694.160701 350.419920 682.538896 362.564107
line 579.376687 426.868315 553.215683 420.265694
line 791.337741 430.708966 778.496404 437.570120
line 1022.240478 101.812415 1010.316860 98.492385
line 615.366665 378.438934 601.981873 376.227999
line 889.677171 208.137748 888.887570 226.854437
line 754.206602 413.491166 740.373325 422.748939
line 745.402650 171.598686 716.204143 195.094701
line 929.493067 455.231126 903.000652 447.289830
line 571.876036 457.887250 550.626440 457.794639
line 949.884986 338.930908 929.718473 351.692455
line 282.078302 399.883420 234.662378 418.843676
line 191.930273 427.682548 148.128805 430.680586
line 524.319431 214.072145 502.481785 224.244118
line 851.408598 391.397419 863.887467 398.932415
line 611.174819 468.903445 596.169661 451.407869
line 95.693663 476.541171 71.674300 471.600770
line 745.426051 140.425257 715.996383 169.737884
line 778.199337 440.613979 778.261837 448.123861
line 390.650089 207.963336 339.340908 209.146161
line 884.390070 226.965359 873.089548 227.031102
line 540.849143 389.550828 547.955375 380.491938
line 110.471617 411.179719 120.533452 408.960017
line 358.122315 494.066205 393.130537 493.761847
line 168.134794 264.604779 209.416354 262.845244
line 658.221581 332.730302 670.881182 335.828063
line 630.748898 376.629739 618.132463 378.185524
line 884.312819 494.510881 919.354333 493.589226
line 108.102569 263.803185 161.890587 263.140921
line 928.021152 353.727579 943.006910 356.310219
line 265.654367 409.436510 281.317947 401.958229
line 276.457347 163.385356 294.270301 160.063559
line 506.791100 392.209079 492.970972 388.738320
line 601.837593 396.467517 620.317105 394.771075
line 717.791522 321.607238 750.967956 345.141533
line 456.754492 394.112967 435.515547 391.522333
line 893.506436 274.517506 894.401715 264.268146
line 871.246770 281.625586 891.620403 268.965289
line 975.703804 221.666998 954.636310 213.685280
line 466.710046 293.500925 495.417600 306.097657
line 425.851086 371.253365 442.938073 365.105471
line 285.710208 471.414634 248.171282 472.982860
line 551.914151 371.109612 534.366664 371.505667
line 549.612486 188.946145 512.824435 199.585751
line 913.132618 82.685314 899.378184 82.736173
line 228.127827 225.601133 210.431926 223.504831
line 178.003764 276.120070 166.631927 267.184340
line 391.846084 405.675387 402.066794 411.540791
line 485.536465 270.582794 501.881893 271.780960
line 0.600419 261.671873 9.390194 261.523186
line 167.803225 299.429627 168.695893 284.261469
line 119.287850 409.745617 133.199280 410.493717
line 420.596772 438.021561 404.520651 442.408717
line 323.772167 273.132085 323.909288 260.606218
line 620.110930 393.506898 640.269053 410.595880
line 535.662585 451.128235 574.502935 453.083075
line 901.414888 448.109597 919.960915 459.686362
line 875.605369 493.686540 891.877781 493.222547
line 49.332937 128.469956 0.393241 101.038475
line 827.484699 214.189793 790.928660 198.660197
line 259.965692 220.151568 232.697674 226.197789
line 673.703082 422.283901 685.542280 427.079227
line 700.590760 483.189536 715.645664 483.581669
line 561.340829 204.789231 549.852284 189.974215
line 830.103040 240.633417 829.336915 193.125614
line 35.803428 228.027765 0.488619 233.493887
line 286.566798 268.140913 287.664394 289.398782
line 477.172616 381.601214 487.294633 391.476144
line 472.451947 200.672714 455.635678 208.149018
line 117.333069 415.718643 118.662241 426.959282
line 778.445305 449.019583 794.318537 463.324678
line 952.594164 467.843724 938.858768 460.317073
line 894.524411 484.708638 869.394302 487.079582
line 40.339691 292.493429 29.120505 297.561641
line 352.086524 368.018821 373.304390 364.095055
line 43.023164 196.848997 43.306751 209.370884
line 278.220688 243.128558 277.756515 255.611298
line 1011.503262 262.797215 1022.930492 260.104873
line 801.874009 253.144365 821.885576 254.168315
line 834.778970 266.873039 834.651515 240.617590
line 160.905501 280.621995 160.847379 299.375689
line 505.638192 449.910809 486.838037 450.373677
line 383.299911 450.944158 370.526173 457.944672
line 979.356528 276.961461 998.054267 280.956080
line 918.149471 487.921693 905.383059 486.385086
line 290.835784 286.888177 291.852526 270.623595
line 533.145347 371.154084 511.878729 371.971955
line 463.123036 265.921925 476.872434 266.012870
line 683.695454 263.256563 686.396821 277.209583
line 682.769014 366.240423 696.427911 358.578024
line 807.857383 467.217012 785.408719 449.651405
line 209.438721 223.135275 145.600378 219.854037
line 866.633157 235.675865 867.782532 269.386677
line 138.286329 485.798879 119.378901 486.939659
line 417.256309 344.035295 431.799003 337.943574
line 627.402472 356.889055 643.250278 363.652519
line 789.118031 381.914785 782.581388 134.323350
line 355.870536 341.470797 380.820967 338.547689
line 41.324420 416.870944 -0.118460 398.557425
line 466.877032 454.134102 504.395450 454.450564
line 792.591816 350.591580 793.815738 376.842795
line 990.555950 478.903989 976.583332 477.665443
line 625.544367 340.200509 642.893267 336.905045
line 8.156882 480.136308 31.887429 481.684484
line 158.122501 277.169438 175.631848 277.318027
line 832.932411 170.653200 885.313144 162.396561
line 308.899220 225.580591 309.229350 240.628195
line 961.629506 373.858084 945.463775 381.535522
line 702.905213 410.540190 709.011025 394.716895
line 755.870074 121.921089 716.690210 157.923903
line 552.412633 269.354587 553.235784 240.628175
line 449.533834 395.056955 464.418630 399.218965
line 961.079502 231.860892 962.167272 266.904728
line 680.848066 275.629210 680.622561 220.619886
line 485.625023 451.839316 464.375033 451.825330
line 526.764301 211.336631 559.178946 204.671525
line 644.464999 349.628529 621.724496 357.701024
line 458.217624 429.886773 431.704913 434.685225
line 762.041927 119.101052 754.457612 124.491240
line 161.878842 259.816821 139.369674 260.012561
line 357.657544 253.047094 358.791075 264.433132
line 592.045852 345.395605 565.569531 347.387824
line 581.814678 405.402647 597.898296 401.039343
line 258.364763 167.989555 275.604755 164.280890
line 339.267147 212.131140 314.204885 213.335776
line 135.653939 307.595482 78.052723 304.447529
line 454.545174 361.104062 425.552317 354.704274
line 785.221751 133.751652 815.222917 153.057330
line 1022.047061 295.053889 1005.422999 290.045489
line 1000.554590 310.325360 985.947751 315.319063
line 906.867652 484.533379 895.621193 484.502293
line 918.132168 493.376665 950.605825 492.451753
line 508.141125 374.924923 536.903048 374.081579
line 894.419317 418.317219 906.835699 415.454540
line 38.462121 263.168730 39.779322 290.665511
line 588.021169 341.546168 570.601589 339.582697
line 798.071665 435.108722 855.594705 433.371737
line 492.987019 189.013510 472.088076 199.880905
line 367.348657 238.444532 356.879894 233.115386
line 921.906748 270.204360 949.414290 269.151371
line 917.980918 330.137367 937.975471 333.916188
line 97.571808 409.606350 109.351284 411.992097
line 509.706099 454.836460 534.037287 450.129352
line 252.955983 413.709445 268.058987 412.376846
line 855.645690 384.495511 884.197919 379.593562
line 393.062814 229.983728 401.848819 230.881282
line 149.628994 269.304511 154.173766 285.680846
line 310.632146 280.653599 327.985775 276.317768
line 458.108470 411.824202 441.943163 417.084472
line 138.347091 463.733839 100.123514 477.676969
line 776.904140 481.069946 799.419886 481.884922
line 58.592179 403.370350 99.882455 411.925972
line 37.305229 216.859901 37.657297 226.891415
line 192.976996 429.864769 226.901339 423.260292
line 380.580009 482.448421 401.797470 484.113145
line 15.698243 300.369124 0.180663 295.927297
line 1022.337834 232.673235 1012.796230 233.644201
line 971.461405 273.096442 970.010540 230.603300
line 497.833045 329.856043 471.996284 314.175165
line 436.956722 364.615019 420.487909 370.222363
line 190.618401 206.919390 263.005304 217.680182
line 468.037815 285.118854 449.252856 282.917117
line 284.342538 295.518092 266.929779 300.805405
line 151.989336 300.005462 136.893140 300.923342
line 564.718416 39.592144 531.964836 47.258801
line 804.955162 201.918298 803.657360 181.840589
line 211.876721 265.755757 225.640787 265.574617
line 45.631623 296.818806 109.380014 304.332456
line 380.460197 359.772597 364.381963 353.108201
line 153.088702 479.735168 186.833542 478.358656
line 503.451951 266.876551 503.617956 231.877338
line 865.631339 265.014081 851.882692 265.150453
line 260.972198 250.723408 259.312320 235.495579
line 684.285663 214.373663 683.556021 263.131450
line 877.682334 351.026678 895.699015 347.225848
line 425.906331 391.050869 460.310794 402.795433
line 28.923694 190.589737 0.203469 200.674532
line 893.479515 263.131999 893.501001 254.369792
line 901.614860 324.552833 881.581084 329.413624
line 71.821019 472.480801 51.856460 474.153749
line 945.695892 488.985791 924.384548 490.740931
line 1006.244352 161.599663 1022.346738 151.367366
line 384.082845 240.125685 367.993403 237.776180
line 27.417573 392.791857 59.368678 403.223128
line 793.001888 173.344410 821.802379 189.504425
line 716.132715 285.403291 714.987619 295.693174
line 819.341146 334.325859 810.487466 340.425364
line 41.406530 179.039799 24.863638 170.883882
line 153.175641 416.192728 188.231217 413.065768
line 145.250863 220.204502 117.970415 222.651838
line 809.321488 340.527063 793.125675 349.376235
line 80.706483 207.399475 44.362704 213.045852
