#LSD# 2048 1024 pano.pgm (width height input)
# FORMAT: x1, y1, x2, y2, width, p, -log10(NFA)
1905.531186 833.281494 1995.630590 839.291196 4.741257 0.125000 120.839660 
1559.339479 456.084493 1581.962306 455.067941 3.577884 0.125000 5.827184 
1695.597456 461.385369 1718.166670 460.115736 3.393041 0.125000 6.235070 
1049.194674 844.185510 1077.161363 848.940877 6.186480 0.125000 32.214126 
1736.935325 651.386810 1696.791116 654.565680 5.280419 0.125000 53.397796 
1177.512471 469.462141 1173.415774 558.196135 7.683401 0.125000 128.579364 
1103.081547 488.162360 1088.055006 470.685179 5.022482 0.125000 12.386817 
1608.107427 867.707623 1743.236292 862.018346 5.534773 0.125000 194.880976 
0.606438 840.350701 135.748864 831.205353 5.176190 0.125000 181.561808 
1695.693393 654.690060 1674.374855 655.621677 3.800997 0.125000 25.471104 
1744.299892 861.351814 1841.765159 847.359871 4.979622 0.125000 149.906555 
1087.071769 471.164208 1070.050007 466.452054 4.355975 0.125000 11.636477 
1511.798962 862.094290 1606.867795 867.014216 4.886953 0.125000 154.804391 
1610.849993 424.574994 1628.436212 404.790521 4.775120 0.125000 8.917948 
1077.935188 849.803753 1170.663074 860.288259 4.599986 0.125000 153.934764 
1588.077934 414.724813 1605.927539 417.126418 8.599792 0.125000 18.102893 
1171.803044 860.240675 1260.662825 863.262859 4.444756 0.125000 153.985921 
1665.775210 315.085451 1718.374450 329.728983 6.828308 0.125000 80.486859 
1765.689960 647.514319 1755.415011 648.558334 5.100747 0.125000 1.890420 
1170.698595 504.366935 1167.119814 471.711182 7.302192 0.125000 29.127566 
1788.225198 643.947575 1767.917468 646.421266 5.114459 0.125000 6.556349 
1651.889690 636.469655 1624.354539 636.948552 3.705959 0.125000 42.369226 
1279.368355 472.239251 1298.134913 472.581597 5.135963 0.125000 8.371666 
1717.811676 330.443742 1760.018498 305.834789 6.749984 0.125000 86.445849 
972.023025 399.049393 965.463045 399.495972 5.607681 0.125000 1.222714 
876.737990 253.647099 901.405410 291.364608 6.237078 0.125000 45.353366 
